id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
635,0,1,6,133,-1,18,-1,-1,0
636,1,0,6,133,1,4,-1,-1,3
637,1,0,6,140,1,2,-1,-1,2
638,0,1,6,140,-1,18,-1,-1,0
639,1,0,6,140,1,4,-1,-1,3
640,1,0,6,138,1,2,-1,-1,2
641,0,1,6,138,-1,18,-1,-1,0
642,1,0,6,138,1,4,-1,-1,3
643,1,0,6,135,1,2,-1,-1,2
644,0,1,6,134,-1,18,-1,-1,0
645,1,0,6,134,1,4,-1,-1,3
646,1,0,6,137,1,2,-1,-1,2
647,0,1,6,136,-1,18,-1,-1,0
648,1,0,6,136,1,4,-1,-1,3
649,1,0,6,138,1,2,-1,-1,2
650,0,1,6,138,-1,18,-1,-1,0
651,1,0,6,138,1,4,-1,-1,3
652,1,0,6,140,1,2,-1,-1,2
653,0,1,6,140,-1,18,-1,-1,0
654,1,0,6,140,1,4,-1,-1,3
655,1,0,6,53,1,2,-1,-1,2
656,0,1,6,53,-1,18,-1,-1,0
657,1,0,6,53,1,4,-1,-1,3
658,1,0,6,57,1,2,-1,-1,2
659,0,1,6,57,-1,18,-1,-1,0
660,1,0,6,57,1,4,-1,-1,3
661,1,0,6,1,1,2,-1,-1,0
662,0,1,6,164,-1,18,-1,-1,0
663,1,0,6,163,1,4,-1,-1,3
664,1,0,6,1,1,4,-1,-1,0
665,1,0,6,162,1,2,-1,-1,2
666,0,1,6,162,-1,18,-1,-1,0
667,1,0,6,1,1,2,-1,-1,0
668,0,1,6,1,-1,18,-1,-1,0
669,1,0,6,163,1,4,-1,-1,3
670,1,0,6,1,1,2,-1,-1,0
671,0,1,6,1,-1,18,-1,-1,0
672,1,0,6,1,1,4,-1,-1,0
673,1,0,6,8,1,4,-1,-1,0
674,1,0,6,7,1,2,-1,-1,0
675,0,1,6,7,-1,18,-1,-1,0
676,1,0,6,1,1,2,-1,-1,0
677,0,1,6,1,-1,18,-1,-1,0
678,1,0,6,1,1,4,-1,-1,0
679,1,0,6,12,1,2,-1,-1,0
680,0,1,6,11,-1,18,-1,-1,0
681,1,0,6,11,1,4,-1,-1,0
682,1,0,6,1,1,2,-1,-1,0
683,0,1,6,1,-1,18,-1,-1,0
684,1,0,6,1,1,4,-1,-1,0
685,1,0,6,3,1,2,-1,-1,0
686,0,1,6,3,-1,18,-1,-1,0
687,1,0,6,2,1,4,-1,-1,0
688,1,0,6,2,1,2,-1,-1,0
689,0,1,6,2,-1,18,-1,-1,0
690,1,0,6,2,1,4,-1,-1,0
691,1,0,6,3,1,2,-1,-1,0
692,0,1,6,3,-1,18,-1,-1,0
693,1,0,6,2,1,4,-1,-1,0
694,1,0,6,5,1,2,-1,-1,0
695,0,1,6,5,-1,18,-1,-1,0
696,1,0,6,4,1,4,-1,-1,0
697,1,0,6,1,1,2,-1,-1,0
698,0,1,6,1,-1,18,-1,-1,0
699,1,0,6,1,1,4,-1,-1,0
700,1,0,6,6,1,4,-1,-1,0
701,1,0,6,5,1,2,-1,-1,0
702,0,1,6,5,-1,18,-1,-1,0
703,1,0,6,15,1,2,-1,-1,0
704,0,1,6,15,-1,18,-1,-1,0
705,1,0,6,15,1,4,-1,-1,0
706,1,0,6,15,1,2,-1,-1,0
707,0,1,6,15,-1,18,-1,-1,0
708,1,0,6,14,1,4,-1,-1,0
709,1,0,6,15,1,2,-1,-1,0
710,0,1,6,15,-1,18,-1,-1,0
711,1,0,6,14,1,4,-1,-1,0
712,1,0,6,13,1,2,-1,-1,0
713,0,1,6,12,-1,18,-1,-1,0
714,1,0,6,12,1,4,-1,-1,0
715,1,0,6,12,1,2,-1,-1,0
716,0,1,6,12,-1,18,-1,-1,0
717,1,0,6,12,1,4,-1,-1,0
718,1,0,6,14,1,2,-1,-1,0
719,0,1,6,14,-1,18,-1,-1,0
720,1,0,6,13,1,4,-1,-1,0
721,1,0,6,13,1,2,-1,-1,0
722,0,1,6,12,-1,18,-1,-1,0
723,1,0,6,12,1,4,-1,-1,0
724,1,0,6,13,1,2,-1,-1,0
725,0,1,6,13,-1,18,-1,-1,0
726,1,0,6,12,1,4,-1,-1,0
727,1,0,6,15,1,2,-1,-1,0
728,0,1,6,15,-1,18,-1,-1,0
729,1,0,6,15,1,4,-1,-1,0
730,1,0,6,14,1,2,-1,-1,0
731,0,1,6,14,-1,18,-1,-1,0
732,1,0,6,14,1,4,-1,-1,0
733,1,0,6,14,1,2,-1,-1,0
734,0,1,6,13,-1,18,-1,-1,0
735,1,0,6,13,1,4,-1,-1,0
736,0,1,6,13,-1,18,-1,-1,0
737,1,0,6,13,1,4,-1,-1,0
738,1,0,6,13,1,2,-1,-1,0
739,0,1,6,2,-1,18,-1,-1,0
740,1,0,6,2,1,4,-1,-1,0
741,1,0,6,1,1,2,-1,-1,0
742,1,0,6,13,1,2,-1,-1,0
743,0,1,6,12,-1,18,-1,-1,0
744,1,0,6,12,1,4,-1,-1,0
745,1,0,6,15,1,2,-1,-1,0
746,0,1,6,15,-1,18,-1,-1,0
747,1,0,6,14,1,4,-1,-1,0
748,1,0,6,14,1,2,-1,-1,0
749,0,1,6,14,-1,18,-1,-1,0
750,1,0,6,14,1,4,-1,-1,0
751,1,0,6,15,1,2,-1,-1,0
752,0,1,6,15,-1,18,-1,-1,0
753,1,0,6,15,1,4,-1,-1,0
754,1,0,6,15,1,2,-1,-1,0
