id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
660,1,0,1,293,-1,-1,8,-1,1
661,0,1,1,301,-1,-1,0,-1,0
662,1,0,1,300,-1,-1,8,-1,1
663,1,0,1,302,-1,-1,8,-1,1
664,0,1,1,301,-1,-1,0,-1,0
665,0,1,1,297,-1,-1,0,-1,0
666,1,0,1,297,-1,-1,8,-1,1
667,1,0,1,312,-1,-1,8,-1,1
668,0,1,1,311,-1,-1,0,-1,0
669,1,0,1,305,-1,-1,8,-1,1
670,0,1,1,305,-1,-1,0,-1,0
671,1,0,1,307,-1,-1,8,-1,1
672,0,1,1,306,-1,-1,0,-1,0
673,1,0,1,316,-1,-1,8,-1,1
674,0,1,1,315,-1,-1,0,-1,0
675,1,0,1,295,-1,-1,8,-1,1
676,0,1,1,295,-1,-1,0,-1,0
677,0,1,1,296,-1,-1,0,-1,0
678,1,0,1,296,-1,-1,8,-1,1
679,1,0,1,305,-1,-1,8,-1,1
680,0,1,1,305,-1,-1,0,-1,0
681,0,1,1,301,-1,-1,0,-1,0
682,1,0,1,300,-1,-1,8,-1,1
683,0,1,1,303,-1,-1,0,-1,0
684,1,0,1,302,-1,-1,8,-1,1
685,0,1,1,307,-1,-1,0,-1,0
686,1,0,1,306,-1,-1,8,-1,1
687,0,1,1,296,-1,-1,0,-1,0
688,1,0,1,295,-1,-1,8,-1,1
689,0,1,1,300,-1,-1,0,-1,0
690,1,0,1,298,-1,-1,8,-1,1
691,0,1,1,295,-1,-1,0,-1,0
692,1,0,1,295,-1,-1,8,-1,1
693,1,0,1,309,-1,-1,8,-1,1
694,0,1,1,308,-1,-1,0,-1,0
695,0,1,1,302,-1,-1,0,-1,0
696,1,0,1,301,-1,-1,8,-1,1
697,1,0,1,306,-1,-1,8,-1,1
698,0,1,1,306,-1,-1,0,-1,0
699,0,1,1,307,-1,-1,0,-1,0
700,1,0,1,307,-1,-1,8,-1,1
701,0,1,1,299,-1,-1,0,-1,0
702,1,0,1,299,-1,-1,8,-1,1
703,1,0,1,309,-1,-1,8,-1,1
704,0,1,1,308,-1,-1,0,-1,0
705,1,0,1,314,-1,-1,8,-1,1
706,0,1,1,313,-1,-1,0,-1,0
707,0,1,1,305,-1,-1,0,-1,0
708,1,0,1,304,-1,-1,8,-1,1
709,0,1,1,305,-1,-1,0,-1,0
710,1,0,1,304,-1,-1,8,-1,1
711,1,0,1,306,-1,-1,8,-1,1
712,0,1,1,307,-1,-1,0,-1,0
713,0,1,1,305,-1,-1,0,-1,0
714,1,0,1,304,-1,-1,8,-1,1
715,0,1,1,303,-1,-1,0,-1,0
716,1,0,1,302,-1,-1,8,-1,1
717,0,1,1,307,-1,-1,0,-1,0
718,1,0,1,307,-1,-1,8,-1,1
719,0,1,1,308,-1,-1,0,-1,0
720,1,0,1,308,-1,-1,8,-1,1
721,1,0,1,312,-1,-1,8,-1,1
722,0,1,1,311,-1,-1,0,-1,0
723,0,1,1,304,-1,-1,0,-1,0
724,1,0,1,304,-1,-1,8,-1,1
725,1,0,1,308,-1,-1,8,-1,1
726,0,1,1,308,-1,-1,0,-1,0
727,1,0,1,303,-1,-1,8,-1,1
728,0,1,1,302,-1,-1,0,-1,0
729,0,1,1,227,-1,-1,0,-1,0
730,1,0,1,228,-1,-1,8,-1,1
731,1,0,1,310,-1,-1,8,-1,1
732,0,1,1,308,-1,-1,0,-1,0
733,0,1,1,227,-1,-1,0,-1,0
734,1,0,1,227,-1,-1,8,-1,1
735,1,0,1,230,-1,-1,8,-1,1
736,0,1,1,229,-1,-1,0,-1,0
737,0,1,1,232,-1,-1,0,-1,0
738,1,0,1,233,-1,-1,8,-1,1
739,0,1,1,235,-1,-1,0,-1,0
740,1,0,1,236,-1,-1,8,-1,1
741,0,1,1,306,-1,-1,0,-1,0
742,1,0,1,307,-1,-1,8,-1,1
743,1,0,1,299,-1,-1,8,-1,1
744,0,1,1,299,-1,-1,0,-1,0
745,1,0,1,300,-1,-1,8,-1,1
746,0,1,1,300,-1,-1,0,-1,0
747,1,0,1,302,-1,-1,8,-1,1
748,0,1,1,301,-1,-1,0,-1,0
749,0,1,1,302,-1,-1,0,-1,0
750,1,0,1,302,-1,-1,8,-1,1
751,0,1,1,306,-1,-1,0,-1,0
752,1,0,1,306,-1,-1,8,-1,1
753,1,0,1,300,-1,-1,8,-1,1
754,0,1,1,302,-1,-1,0,-1,0
755,0,1,1,309,-1,-1,0,-1,0
756,1,0,1,310,-1,-1,8,-1,1
757,1,0,1,303,-1,-1,8,-1,1
758,0,1,1,301,-1,-1,0,-1,0
759,1,0,1,304,-1,-1,8,-1,1
760,0,1,1,303,-1,-1,0,-1,0
761,1,0,1,305,-1,-1,8,-1,1
762,0,1,1,305,-1,-1,0,-1,0
763,0,1,1,306,-1,-1,0,-1,0
764,1,0,1,306,-1,-1,8,-1,1
765,0,1,1,301,-1,-1,0,-1,0
766,1,0,1,301,-1,-1,8,-1,1
767,0,1,1,315,-1,-1,0,-1,0
768,1,0,1,314,-1,-1,8,-1,1
769,0,1,1,305,-1,-1,0,-1,0
770,1,0,1,306,-1,-1,8,-1,1
771,1,0,1,306,-1,-1,8,-1,1
772,0,1,1,306,-1,-1,0,-1,0
773,0,1,1,315,-1,-1,0,-1,0
774,1,0,1,313,-1,-1,8,-1,1
775,1,0,1,317,-1,-1,8,-1,1
776,0,1,1,317,-1,-1,0,-1,0
777,1,0,1,309,-1,-1,8,-1,1
778,0,1,1,308,-1,-1,0,-1,0
779,1,0,1,305,-1,-1,8,-1,1
780,0,1,1,304,-1,-1,0,-1,0
781,1,0,1,310,-1,-1,8,-1,1
782,0,1,1,310,-1,-1,0,-1,0
783,1,0,1,310,-1,-1,8,-1,1
784,0,1,1,309,-1,-1,0,-1,0
785,0,1,1,303,-1,-1,0,-1,0
786,1,0,1,303,-1,-1,8,-1,1
787,1,0,1,292,-1,-1,8,-1,1
788,0,1,1,292,-1,-1,0,-1,0
789,0,1,1,313,-1,-1,0,-1,0
790,1,0,1,312,-1,-1,8,-1,1
791,1,0,1,305,-1,-1,8,-1,1
792,0,1,1,304,-1,-1,0,-1,0
793,1,0,1,313,-1,-1,8,-1,1
794,0,1,1,312,-1,-1,0,-1,0
795,1,0,1,358,-1,-1,8,-1,1
796,0,1,1,358,-1,-1,0,-1,0
797,1,0,1,51,-1,-1,8,-1,1
798,0,1,1,50,-1,-1,0,-1,0
799,1,0,1,61,-1,-1,8,-1,1
800,0,1,1,60,-1,-1,0,-1,0
801,1,0,1,62,-1,-1,8,-1,1
802,0,1,1,61,-1,-1,0,-1,0
803,1,0,1,61,-1,-1,8,-1,1
804,0,1,1,61,-1,-1,0,-1,0
805,1,0,1,62,-1,-1,8,-1,1
806,0,1,1,61,-1,-1,0,-1,0
807,1,0,1,61,-1,-1,8,-1,1
808,0,1,1,61,-1,-1,0,-1,0
809,1,0,1,64,-1,-1,8,-1,1
810,0,1,1,64,-1,-1,0,-1,0
811,1,0,1,64,-1,-1,8,-1,1
812,0,1,1,63,-1,-1,0,-1,0
813,1,0,1,62,-1,-1,8,-1,1
814,0,1,1,62,-1,-1,0,-1,0
815,1,0,1,63,-1,-1,8,-1,1
816,0,1,1,62,-1,-1,0,-1,0
817,1,0,1,62,-1,-1,8,-1,1
818,0,1,1,61,-1,-1,0,-1,0
819,1,0,1,60,-1,-1,8,-1,1
820,0,1,1,60,-1,-1,0,-1,0
