protocal,count,port,flag,type,attack,srcip
6,6,443,24,-1,0,-1
6,7,54752,24,-1,0,-1
6,4,43334,24,-1,0,-1
6,2,443,24,-1,0,-1
6,1,443,17,-1,0,-1
6,7,44790,24,-1,0,-1
6,1,47408,25,-1,0,-1
6,11,443,16,-1,0,-1
6,8,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
17,4,56631,-1,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,1,443,2,-1,0,-1
6,17,54752,16,-1,0,-1
6,4,443,24,-1,0,-1
6,6,56514,16,-1,0,-1
6,1,43294,16,-1,0,-1
6,1,80,16,-1,0,-1
17,4,33986,-1,-1,0,-1
6,1,80,17,-1,0,-1
6,1,80,16,-1,0,-1
17,16,53,-1,-1,0,-1
6,11,443,24,-1,0,-1
17,4,59366,-1,-1,0,-1
6,6,443,16,-1,0,-1
6,11,56514,24,-1,0,-1
6,1,47408,16,-1,0,-1
6,6,43334,16,-1,0,-1
6,38,58576,16,-1,0,-1
6,1,56514,18,-1,0,-1
6,1,43290,16,-1,0,-1
6,18,58576,24,-1,0,-1
6,2,443,2,-1,0,-1
6,11,443,16,-1,0,-1
6,230,43350,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,43334,18,-1,0,-1
6,1,43294,24,-1,0,-1
6,61,58574,16,-1,0,-1
6,5,443,16,-1,0,-1
6,1,443,4,-1,0,-1
6,1,43334,25,-1,0,-1
6,8,443,24,-1,0,-1
6,4,43334,24,-1,0,-1
6,1,443,17,-1,0,-1
6,18,44790,24,-1,0,-1
6,1,58576,18,-1,0,-1
6,1,47408,25,-1,0,-1
6,1,43290,24,-1,0,-1
6,18,44790,16,-1,0,-1
6,21,58574,24,-1,0,-1
17,6,56953,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,1,43296,24,-1,0,-1
17,8,53,-1,-1,0,-1
6,3,80,24,-1,0,-1
6,1,443,2,-1,0,-1
6,36,43350,24,-1,0,-1
6,1,43292,16,-1,0,-1
6,4,443,24,-1,0,-1
6,1,43296,16,-1,0,-1
6,8,56514,16,-1,0,-1
6,264,443,16,-1,0,-1
6,1,43294,16,-1,0,-1
6,1,80,16,-1,0,-1
6,2,443,24,-1,0,-1
17,4,33986,-1,-1,0,-1
6,71,443,16,-1,0,-1
17,4,54558,-1,-1,0,-1
6,1,58574,18,-1,0,-1
6,1,80,17,-1,0,-1
6,4,80,16,-1,0,-1
17,2,53,-1,-1,0,-1
6,2,443,24,-1,0,-1
6,4,443,24,-1,0,-1
6,1,55232,18,-1,0,-1
6,4,443,16,-1,0,-1
6,5,443,16,-1,0,-1
6,125,43350,16,-1,0,-1
6,192,58574,16,-1,0,-1
6,6,55232,16,-1,0,-1
6,4,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,3,44790,24,-1,0,-1
6,5,443,16,-1,0,-1
6,1,44790,16,-1,0,-1
